chamberID,region,chamber,layer,etaPartition,matchedRecHit,propHit,AVG_CLS
GE11-P-21L1-S,1,21,1,1,12,20,1.41666666667
GE11-P-21L1-S,1,21,1,2,14,20,1.64285714286
GE11-P-21L1-S,1,21,1,3,9,11,1.88888888889
GE11-P-21L1-S,1,21,1,4,11,12,2.18181818182
GE11-P-21L1-S,1,21,1,5,3,6,1.0
GE11-P-21L1-S,1,21,1,6,2,5,1.5
GE11-P-21L1-S,1,21,1,7,1,1,3.0
GE11-P-21L1-S,1,21,1,8,4,6,1.25
GE11-P-21L2-S,1,21,2,1,15,17,1.73333333333
GE11-P-21L2-S,1,21,2,2,22,25,2.22727272727
GE11-P-21L2-S,1,21,2,3,11,17,1.54545454545
GE11-P-21L2-S,1,21,2,4,21,23,2.42857142857
GE11-P-21L2-S,1,21,2,5,14,20,2.57142857143
GE11-P-21L2-S,1,21,2,6,5,14,1.4
GE11-P-21L2-S,1,21,2,7,4,8,1.5
GE11-P-21L2-S,1,21,2,8,4,10,1.25
GE11-P-01L1-S,1,1,1,1,22,24,2.40909090909
GE11-P-01L1-S,1,1,1,2,33,34,2.51515151515
GE11-P-01L1-S,1,1,1,3,19,22,3.10526315789
GE11-P-01L1-S,1,1,1,4,9,10,3.44444444444
GE11-P-01L1-S,1,1,1,5,8,9,3.25
GE11-P-01L1-S,1,1,1,6,7,7,5.14285714286
GE11-P-01L1-S,1,1,1,7,5,6,2.0
GE11-P-01L1-S,1,1,1,8,8,8,3.125
GE11-P-01L2-S,1,1,2,1,21,26,2.14285714286
GE11-P-01L2-S,1,1,2,2,33,36,2.12121212121
GE11-P-01L2-S,1,1,2,3,15,16,2.33333333333
GE11-P-01L2-S,1,1,2,4,8,10,2.25
GE11-P-01L2-S,1,1,2,5,8,8,2.5
GE11-P-01L2-S,1,1,2,6,7,8,3.14285714286
GE11-P-01L2-S,1,1,2,7,5,6,3.4
GE11-P-01L2-S,1,1,2,8,8,8,3.0
GE11-P-22L1-L,1,22,1,1,28,31,2.57142857143
GE11-P-22L1-L,1,22,1,2,76,81,2.81333333333
GE11-P-22L1-L,1,22,1,3,55,55,3.6
GE11-P-22L1-L,1,22,1,4,51,54,4.32
GE11-P-22L1-L,1,22,1,5,33,35,3.66666666667
GE11-P-22L1-L,1,22,1,6,32,36,3.74193548387
GE11-P-22L1-L,1,22,1,7,31,35,3.83870967742
GE11-P-22L1-L,1,22,1,8,18,20,4.33333333333
GE11-P-22L2-L,1,22,2,1,32,36,2.25
GE11-P-22L2-L,1,22,2,2,84,90,2.10714285714
GE11-P-22L2-L,1,22,2,3,50,54,3.22448979592
GE11-P-22L2-L,1,22,2,4,52,60,3.54901960784
GE11-P-22L2-L,1,22,2,5,28,29,4.07142857143
GE11-P-22L2-L,1,22,2,6,32,36,2.96875
GE11-P-22L2-L,1,22,2,7,27,31,3.51851851852
GE11-P-22L2-L,1,22,2,8,18,19,3.11111111111
GE11-P-02L1-L,1,2,1,1,45,51,2.02222222222
GE11-P-02L1-L,1,2,1,2,39,51,2.92307692308
GE11-P-02L1-L,1,2,1,3,45,50,2.97727272727
